id,name,Class Nbr.,Class Name,spacegroup,spacegroupset,Locality Num
47027,Écrinsite,1,Pedial,1,P1,2
47037,Hansblockite,5,Prismatic,14,P21/c ,1
47038,Petříčekite,8,Orthorhombic dipyramidal,73,Pnnm ,5
47039,Kalgoorlieite,5,Prismatic,11,C2/m ,2
47040,Hydroxylgugiaite,24,Tetragonal scalenohedral,146,0,5
47054,Hakite-(Zn),30,Hextetrahedral,210,0,2
47055,Hakite-(Cd),30,Hextetrahedral,210,0,3
47415,Hydroxylhedyphane,10,Rhombohedral,79,0,1
47562,Middlebackite,5,Prismatic,14,P21/c ,7
47591,Verbierite,8,Orthorhombic dipyramidal,71,0,1
47594,Magnesiovesuvianite,23,Tetragonal dipyramidal,138,0,3
47596,Russoite,19,Hexagonal Trapezohedral,118,0,1
47598,Dioskouriite,5,Prismatic,14,P21/c ,2
47599,Philoxenite,1,Pedial,1,0,1
47600,Marcobaldiite,1,Pedial,1,0,1
47602,Hodgesmithite,9,Trigonal pyramidal,75,0,1
47603,Borisenkoite,5,Prismatic,14,P21/c ,1
47606,Kegginite,9,Trigonal pyramidal,75,0,1
47607,Spryite,6,Orthorhombic pyramidal,35,0,2
47608,Zincoberaunite,5,Prismatic,10,C2/c ,5
47609,Eleomelanite,5,Prismatic,0,0,1
47656,Paragersdorffite,29,Diploidal,204,Pa3 ,1
47658,Orthogersdorffite,6,Orthorhombic pyramidal,29,0,3
47711,Hingganite-(Nd),5,Prismatic,14,P21/c ,5
47777,Wrightite,8,Orthorhombic dipyramidal,67,Pmma ,1
47778,Matyhite,11,Ditrigonal pyramidal,85,0,1
47779,Huenite,11,Ditrigonal pyramidal,81,0,2
47780,Braunerite,5,Prismatic,14,P21/c ,2
47781,Wayneburnhamite,14,Trigonal dipyramidal,100,0,2
47782,Cardite,8,Orthorhombic dipyramidal,50,0,1
47783,Selivanovaite,2,Pinacoidal,2,0,1
47784,Příbramite,8,Orthorhombic dipyramidal,71,0,3
47785,Leószilárdite,5,Prismatic,11,C2/m ,1
47786,Whiteite-(CaMgMg),5,Prismatic,12,P2/a,1
47787,Cesiodymite,2,Pinacoidal,2,0,1
47788,Gauthierite,5,Prismatic,14,P21/c ,1
47789,Luogufengite,6,Orthorhombic pyramidal,35,0,1
47790,Hydroxyferroroméite,32,Hexoctahedral,222,0,2
47791,Ewingite,27,Ditetragonal dipyramidal,177,I41/acd ,3
47794,Cabvinite,23,Tetragonal dipyramidal,135,0,1
47796,Edtollite,2,Pinacoidal,2,0,1
47800,Wangdaodeite,11,Ditrigonal pyramidal,85,0,3
47863,Butianite,27,Ditetragonal dipyramidal,176,I4/mmm ,1
47864,Stolperite,32,Hexoctahedral,227,Pm-3m,2
47890,Chinleite-(Y),12,Trigonal trapezohedral,0,0,2
47892,Hollisterite,5,Prismatic,11,C2/m ,2
47895,Javorieite,8,Orthorhombic dipyramidal,71,Pnma ,1
47913,Gadolinite-(Nd),5,Prismatic,14,P21/c ,3
47914,Alumovesuvianite,23,Tetragonal dipyramidal,138,P4/n,2
47915,Arsenatrotitanite,5,Prismatic,10,C2/c ,1
47916,Ferrorhodonite,2,Pinacoidal,2,0,5
47917,Ozerovaite,8,Orthorhombic dipyramidal,49,Cmca ,1
47919,Marinaite,5,Prismatic,14,P21/c ,1
47920,Nataliyamalikite,8,Orthorhombic dipyramidal,50,Cmcm ,2
47921,Zincostrunzite,2,Pinacoidal,2,0,2
47922,Qatranaite,5,Prismatic,14,P21/c ,1
47923,Rippite,0,Unknown,0,0,1
47927,Bytízite,8,Orthorhombic dipyramidal,71,Pnma ,3
47930,Folvikite,4,Sphenoidal,8,P2 ,1
47931,Argentoliveingite,2,Pinacoidal,2,P-1,1
47932,Currierite,19,Hexagonal Trapezohedral,118,P6 2 2,1
47933,Deltalumite,24,Tetragonal scalenohedral,151,P-4m2,3
47934,Hydropascoite,2,Pinacoidal,2,P-1,1
47935,Parisite-(La),0,Unknown,0,0,2
47989,Incomsartorite,5,Prismatic,0,0,1
47993,Richardsollyite,5,Prismatic,14,P21/c ,1
48003,Kryachkoite,6,Orthorhombic pyramidal,21,0,1
50234,Merelaniite,2,Pinacoidal,0,0,1
50252,Lombardoite,5,Prismatic,15,P21/m ,1
50334,Calamaite,8,Orthorhombic dipyramidal,55,Ibam ,1
50335,Rowleyite,0,Unknown,0,0,2
50336,Fleisstalite,8,Orthorhombic dipyramidal,71,Pnma ,1
50337,Siidraite,8,Orthorhombic dipyramidal,53,Fddd ,1
50338,Anatolyite,13,Hexagonal scalenohedral,98,R-3c ,1
50339,Zincobradaczekite,5,Prismatic,10,C2/c ,1
50342,Arsenmarcobaldiite,2,Pinacoidal,2,0,1
50344,Argentodufrénoysite,2,Pinacoidal,2,0,1
50345,Belousovite,5,Prismatic,14,P21/c ,1
50346,Khorixasite,5,Prismatic,13,P2/m ,2
50347,Kuliginite,10,Rhombohedral,80,0,1
50348,Omariniite,7,Orthorhombic disphenoidal,42,0,2
50349,Chirvinskyite,2,Pinacoidal,2,0,1
50350,Quijarroite,6,Orthorhombic pyramidal,34,0,1
50351,Badalovite,5,Prismatic,10,C2/c ,1
50352,Molinelloite,2,Pinacoidal,2,0,2
50353,Hydroxykenoelsmoreite,10,Rhombohedral,80,0,2
50354,Magnesiocanutite,5,Prismatic,10,C2/c ,1
50355,Tamboite,5,Prismatic,14,P21/c ,1
50356,Metatamboite,5,Prismatic,14,P21/c ,1
50357,Roymillerite,2,Pinacoidal,2,0,1
50465,Murakamiite,2,Pinacoidal,2,0,2
50466,Zhanghuifenite,5,Prismatic,0,0,1
50771,Rietveldite,6,Orthorhombic pyramidal,34,Pmn21,8
50772,Marathonite,9,Trigonal pyramidal,75,0,2
50773,Epifanovite,5,Prismatic,15,P21/m ,1
50774,Leesite,8,Orthorhombic dipyramidal,61,Pbca ,3
50775,Machiite,5,Prismatic,10,C2/c ,2
50776,Calciojohillerite,5,Prismatic,10,C2/c ,1
50777,Oxy-foitite,13,Hexagonal scalenohedral,99,0,2
50778,Davidsmithite,15,Hexagonal pyramidal,104,0,2
50779,Alpeite,8,Orthorhombic dipyramidal,69,0,4
